scoreId, date, initials, gameId, score
'2c9c872b-f952-4fd6-8aec-09bd22799b33','2024-12-27','AJB','84b1de79-7456-4a57-9a37-d78be11df934',1000000
'cab8546d-ae06-4c95-be41-96f3e616b2ea','2024-12-27','KLM','84b1de79-7456-4a57-9a37-d78be11df934',576234
'080d7d9a-fe2b-4738-884f-0b526026ebfd','2024-12-27','DNP','84b1de79-7456-4a57-9a37-d78be11df934',19872
'518d2346-b0b9-4819-a5f8-533c328d6e93','2024-12-27','AES','84b1de79-7456-4a57-9a37-d78be11df934',999123
'176175ce-4f5d-40ae-a8e6-95d05135f722','2024-12-27','OIR','84b1de79-7456-4a57-9a37-d78be11df934',8673
'3a5f6cca-b5b8-449f-818e-60b90d9f55ae','2024-12-27','JHN','84b1de79-7456-4a57-9a37-d78be11df934',664522
'1d1fb7d5-1b5f-446f-8f8a-cc4f14c63451','2024-12-27','ETU','84b1de79-7456-4a57-9a37-d78be11df934',986242
'308182be-70a6-4d39-88c2-29830454ee72','2024-12-27','AJB','84b1de79-7456-4a57-9a37-d78be11df934',965109
'e26c57f7-431b-4a21-91a6-f17c5057add2','2024-12-27','YYN','84b1de79-7456-4a57-9a37-d78be11df934',1010
'c6e7b110-89ed-4200-95cd-b86b45185345','2024-12-27','AMN','84b1de79-7456-4a57-9a37-d78be11df934',34292
'0759b0d2-c98b-49be-a179-b42e81fbd01e','2024-12-27','TRT','84b1de79-7456-4a57-9a37-d78be11df934',12732
